adresse,Building_Number,repetition,type_voie,Street_Name,Zip_Code,City,Country,Recipient,prompt
société leroy 44 b avenue jean jaurès 92100 lyon france,44,B,avenue,Jean Jaurès,92100,Lyon,France,Société Leroy,"Parsing: société leroy 44 b avenue jean jaurès 92100 lyon france
Champs: {""Building_Number"": 44, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
boulangerie martin 130 bis avenue de verdun 69003 lyon france,130,bis,avenue,de Verdun,69003,Lyon,France,Boulangerie Martin,"Parsing: boulangerie martin 130 bis avenue de verdun 69003 lyon france
Champs: {""Building_Number"": 130, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
Dr. Roux 10 bis boulevard Jean Jaurès 6000 Toulouse France,10,bis,boulevard,Jean Jaurès,6000,Toulouse,France,Dr. Roux,"Parsing: Dr. Roux 10 bis boulevard Jean Jaurès 6000 Toulouse France
Champs: {""Building_Number"": 10, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Dr. Roux"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 6000, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
m. morel 135 ter boulevard de la république 67000 boulogne-billancourt france,135,ter,boulevard,de la République,67000,Boulogne-Billancourt,France,M. Morel,"Parsing: m. morel 135 ter boulevard de la république 67000 boulogne-billancourt france
Champs: {""Building_Number"": 135, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Morel"", ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": ""ter"", ""type_voie"": ""boulevard""}"
Café de la Gare 40 bis route de la République 44000 Strasbourg France,40,bis,route,de la République,44000,Strasbourg,France,Café de la Gare,"Parsing: Café de la Gare 40 bis route de la République 44000 Strasbourg France
Champs: {""Building_Number"": 40, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Café de la Gare"", ""Street_Name"": ""de la République"", ""Zip_Code"": 44000, ""repetition"": ""bis"", ""type_voie"": ""route""}"
Société Leroy 22 B boulevard Jean Jaurès 69003 Strasbourg France,22,B,boulevard,Jean Jaurès,69003,Strasbourg,France,Société Leroy,"Parsing: Société Leroy 22 B boulevard Jean Jaurès 69003 Strasbourg France
Champs: {""Building_Number"": 22, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 69003, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
de Verdun bis France route 198 92100 Boulogne-Billancourt M. Durant,198,bis,route,de Verdun,92100,Boulogne-Billancourt,France,M. Durant,"Parsing: de Verdun bis France route 198 92100 Boulogne-Billancourt M. Durant
Champs: {""Building_Number"": 198, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""route""}"
Crèche Les Poussins France 75001 Victor Hugo A Paris impasse 166,166,A,impasse,Victor Hugo,75001,Paris,France,Crèche Les Poussins,"Parsing: Crèche Les Poussins France 75001 Victor Hugo A Paris impasse 166
Champs: {""Building_Number"": 166, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
188 B avenue Jean Jaurès 67000 Toulouse France,188,B,avenue,Jean Jaurès,67000,Toulouse,France,,"Parsing: 188 B avenue Jean Jaurès 67000 Toulouse France
Champs: {""Building_Number"": 188, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
132 B boulevard Victor Hugo 44000 Nice France,132,B,boulevard,Victor Hugo,44000,Nice,France,,"Parsing: 132 B boulevard Victor Hugo 44000 Nice France
Champs: {""Building_Number"": 132, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 44000, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
Jean Jaurès Strasbourg Café de la Gare 28 impasse B France 31000,28,B,impasse,Jean Jaurès,31000,Strasbourg,France,Café de la Gare,"Parsing: Jean Jaurès Strasbourg Café de la Gare 28 impasse B France 31000
Champs: {""Building_Number"": 28, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Café de la Gare"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
M. Durant 159 bis avenue des Lilas 13008 Marseille France,159,bis,avenue,des Lilas,13008,Marseille,France,M. Durant,"Parsing: M. Durant 159 bis avenue des Lilas 13008 Marseille France
Champs: {""Building_Number"": 159, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
M. Garnier 36 impasse de la République 31000 Marseille France,36,,impasse,de la République,31000,Marseille,France,M. Garnier,"Parsing: M. Garnier 36 impasse de la République 31000 Marseille France
Champs: {""Building_Number"": 36, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Garnier"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": null, ""type_voie"": ""impasse""}"
140 du général leclerc france a sci horizon chemin 33000 nice,140,A,chemin,du Général Leclerc,33000,Nice,France,SCI Horizon,"Parsing: 140 du général leclerc france a sci horizon chemin 33000 nice
Champs: {""Building_Number"": 140, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""SCI Horizon"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
crèche les poussins 108 ter avenue des lilas 44000 nice france,108,ter,avenue,des Lilas,44000,Nice,France,Crèche Les Poussins,"Parsing: crèche les poussins 108 ter avenue des lilas 44000 nice france
Champs: {""Building_Number"": 108, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 44000, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
Entreprise Dupuis 177 B impasse de Verdun 13008 Lyon France,177,B,impasse,de Verdun,13008,Lyon,France,Entreprise Dupuis,"Parsing: Entreprise Dupuis 177 B impasse de Verdun 13008 Lyon France
Champs: {""Building_Number"": 177, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Entreprise Dupuis"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
route France Crèche Les Poussins des Lilas 33000 A Strasbourg 16,16,A,route,des Lilas,33000,Strasbourg,France,Crèche Les Poussins,"Parsing: route France Crèche Les Poussins des Lilas 33000 A Strasbourg 16
Champs: {""Building_Number"": 16, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""route""}"
91 société leroy 69003 toulouse boulevard france jean jaurès,91,,boulevard,Jean Jaurès,69003,Toulouse,France,Société Leroy,"Parsing: 91 société leroy 69003 toulouse boulevard france jean jaurès
Champs: {""Building_Number"": 91, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""boulevard""}"
du général leclerc 31000 strasbourg chemin 93 a france crèche les poussins,93,A,chemin,du Général Leclerc,31000,Strasbourg,France,Crèche Les Poussins,"Parsing: du général leclerc 31000 strasbourg chemin 93 a france crèche les poussins
Champs: {""Building_Number"": 93, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 31000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
café de la gare 162 b chemin de la république 75001 toulouse france,162,B,chemin,de la République,75001,Toulouse,France,Café de la Gare,"Parsing: café de la gare 162 b chemin de la république 75001 toulouse france
Champs: {""Building_Number"": 162, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Café de la Gare"", ""Street_Name"": ""de la République"", ""Zip_Code"": 75001, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
chemin 67000 110 b victor hugo bordeaux france,110,B,chemin,Victor Hugo,67000,Bordeaux,France,,"Parsing: chemin 67000 110 b victor hugo bordeaux france
Champs: {""Building_Number"": 110, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
strasbourg victor hugo ter france 13008 12 mme faure impasse,12,ter,impasse,Victor Hugo,13008,Strasbourg,France,Mme Faure,"Parsing: strasbourg victor hugo ter france 13008 12 mme faure impasse
Champs: {""Building_Number"": 12, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Mme Faure"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
mme faure 93 bis impasse de verdun 75001 boulogne-billancourt france,93,bis,impasse,de Verdun,75001,Boulogne-Billancourt,France,Mme Faure,"Parsing: mme faure 93 bis impasse de verdun 75001 boulogne-billancourt france
Champs: {""Building_Number"": 93, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Faure"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
Dupont Boulogne-Billancourt rue France Jean Jaurès 67000 107,107,,rue,Jean Jaurès,67000,Boulogne-Billancourt,France,Dupont,"Parsing: Dupont Boulogne-Billancourt rue France Jean Jaurès 67000 107
Champs: {""Building_Number"": 107, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""rue""}"
victor hugo france rue 137 boulogne-billancourt ter pharmacie centrale 31000,137,ter,rue,Victor Hugo,31000,Boulogne-Billancourt,France,Pharmacie Centrale,"Parsing: victor hugo france rue 137 boulogne-billancourt ter pharmacie centrale 31000
Champs: {""Building_Number"": 137, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Pharmacie Centrale"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 31000, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
32 a rue du général leclerc 13008 strasbourg france,32,A,rue,du Général Leclerc,13008,Strasbourg,France,,"Parsing: 32 a rue du général leclerc 13008 strasbourg france
Champs: {""Building_Number"": 32, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 13008, ""repetition"": ""A"", ""type_voie"": ""rue""}"
SCI Horizon 88 B boulevard Victor Hugo 31000 Lyon France,88,B,boulevard,Victor Hugo,31000,Lyon,France,SCI Horizon,"Parsing: SCI Horizon 88 B boulevard Victor Hugo 31000 Lyon France
Champs: {""Building_Number"": 88, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""SCI Horizon"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
Crèche Les Poussins 104 bis chemin de la République 75001 Lyon France,104,bis,chemin,de la République,75001,Lyon,France,Crèche Les Poussins,"Parsing: Crèche Les Poussins 104 bis chemin de la République 75001 Lyon France
Champs: {""Building_Number"": 104, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""de la République"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
impasse France du Général Leclerc 6000 Mme Martin 182 Paris,182,,impasse,du Général Leclerc,6000,Paris,France,Mme Martin,"Parsing: impasse France du Général Leclerc 6000 Mme Martin 182 Paris
Champs: {""Building_Number"": 182, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 6000, ""repetition"": null, ""type_voie"": ""impasse""}"
boulangerie martin 200 ter avenue de la république 13008 strasbourg france,200,ter,avenue,de la République,13008,Strasbourg,France,Boulangerie Martin,"Parsing: boulangerie martin 200 ter avenue de la république 13008 strasbourg france
Champs: {""Building_Number"": 200, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
sarl lambert 10 b boulevard des lilas 75001 boulogne-billancourt france,10,B,boulevard,des Lilas,75001,Boulogne-Billancourt,France,SARL Lambert,"Parsing: sarl lambert 10 b boulevard des lilas 75001 boulogne-billancourt france
Champs: {""Building_Number"": 10, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""SARL Lambert"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 75001, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
des Lilas B France 68 75001 avenue Boulangerie Martin Boulogne-Billancourt,68,B,avenue,des Lilas,75001,Boulogne-Billancourt,France,Boulangerie Martin,"Parsing: des Lilas B France 68 75001 avenue Boulangerie Martin Boulogne-Billancourt
Champs: {""Building_Number"": 68, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 75001, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
Marseille du Général Leclerc France M. Morel 67000 119 ter avenue,119,ter,avenue,du Général Leclerc,67000,Marseille,France,M. Morel,"Parsing: Marseille du Général Leclerc France M. Morel 67000 119 ter avenue
Champs: {""Building_Number"": 119, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Morel"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 67000, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
M. Durant 66 bis route de la République 69003 Boulogne-Billancourt France,66,bis,route,de la République,69003,Boulogne-Billancourt,France,M. Durant,"Parsing: M. Durant 66 bis route de la République 69003 Boulogne-Billancourt France
Champs: {""Building_Number"": 66, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de la République"", ""Zip_Code"": 69003, ""repetition"": ""bis"", ""type_voie"": ""route""}"
187 France de Verdun boulevard bis Bordeaux 92100,187,bis,boulevard,de Verdun,92100,Bordeaux,France,,"Parsing: 187 France de Verdun boulevard bis Bordeaux 92100
Champs: {""Building_Number"": 187, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
SCI Horizon 194 boulevard du Général Leclerc 92100 Marseille France,194,,boulevard,du Général Leclerc,92100,Marseille,France,SCI Horizon,"Parsing: SCI Horizon 194 boulevard du Général Leclerc 92100 Marseille France
Champs: {""Building_Number"": 194, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""SCI Horizon"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 92100, ""repetition"": null, ""type_voie"": ""boulevard""}"
boulangerie martin 9 bis rue victor hugo 67000 nice france,9,bis,rue,Victor Hugo,67000,Nice,France,Boulangerie Martin,"Parsing: boulangerie martin 9 bis rue victor hugo 67000 nice france
Champs: {""Building_Number"": 9, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
Mairie de Lyon 95 bis route Victor Hugo 75001 Nice France,95,bis,route,Victor Hugo,75001,Nice,France,Mairie de Lyon,"Parsing: Mairie de Lyon 95 bis route Victor Hugo 75001 Nice France
Champs: {""Building_Number"": 95, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mairie de Lyon"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""route""}"
boulangerie martin 83 a impasse du général leclerc 31000 toulouse france,83,A,impasse,du Général Leclerc,31000,Toulouse,France,Boulangerie Martin,"Parsing: boulangerie martin 83 a impasse du général leclerc 31000 toulouse france
Champs: {""Building_Number"": 83, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Boulangerie Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 31000, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
Mme Lefevre 43 B impasse Jean Jaurès 92100 Strasbourg France,43,B,impasse,Jean Jaurès,92100,Strasbourg,France,Mme Lefevre,"Parsing: Mme Lefevre 43 B impasse Jean Jaurès 92100 Strasbourg France
Champs: {""Building_Number"": 43, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Mme Lefevre"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
Crèche Les Poussins 66 route de la République 31000 Strasbourg France,66,,route,de la République,31000,Strasbourg,France,Crèche Les Poussins,"Parsing: Crèche Les Poussins 66 route de la République 31000 Strasbourg France
Champs: {""Building_Number"": 66, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Crèche Les Poussins"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": null, ""type_voie"": ""route""}"
116 bis impasse victor hugo 33000 toulouse france,116,bis,impasse,Victor Hugo,33000,Toulouse,France,,"Parsing: 116 bis impasse victor hugo 33000 toulouse france
Champs: {""Building_Number"": 116, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
M. Durant 73 B boulevard du Général Leclerc 69003 Nantes France,73,B,boulevard,du Général Leclerc,69003,Nantes,France,M. Durant,"Parsing: M. Durant 73 B boulevard du Général Leclerc 69003 Nantes France
Champs: {""Building_Number"": 73, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 69003, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
Pharmacie Centrale 172 chemin du Général Leclerc 33000 Nice France,172,,chemin,du Général Leclerc,33000,Nice,France,Pharmacie Centrale,"Parsing: Pharmacie Centrale 172 chemin du Général Leclerc 33000 Nice France
Champs: {""Building_Number"": 172, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Pharmacie Centrale"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": null, ""type_voie"": ""chemin""}"
Café de la Gare 79 A rue Victor Hugo 6000 Nantes France,79,A,rue,Victor Hugo,6000,Nantes,France,Café de la Gare,"Parsing: Café de la Gare 79 A rue Victor Hugo 6000 Nantes France
Champs: {""Building_Number"": 79, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Café de la Gare"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 6000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
rue 67000 m. durant lyon 189 france victor hugo,189,,rue,Victor Hugo,67000,Lyon,France,M. Durant,"Parsing: rue 67000 m. durant lyon 189 france victor hugo
Champs: {""Building_Number"": 189, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""rue""}"
M. Garnier 164 chemin Victor Hugo 13008 Nice France,164,,chemin,Victor Hugo,13008,Nice,France,M. Garnier,"Parsing: M. Garnier 164 chemin Victor Hugo 13008 Nice France
Champs: {""Building_Number"": 164, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Garnier"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""chemin""}"
69003 188 Marseille France Association Soleil Victor Hugo rue,188,,rue,Victor Hugo,69003,Marseille,France,Association Soleil,"Parsing: 69003 188 Marseille France Association Soleil Victor Hugo rue
Champs: {""Building_Number"": 188, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Association Soleil"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""rue""}"
142 avenue de la République 75001 Bordeaux France,142,,avenue,de la République,75001,Bordeaux,France,,"Parsing: 142 avenue de la République 75001 Bordeaux France
Champs: {""Building_Number"": 142, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de la République"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""avenue""}"
Dr. Roux 128 avenue de la République 6000 Nice France,128,,avenue,de la République,6000,Nice,France,Dr. Roux,"Parsing: Dr. Roux 128 avenue de la République 6000 Nice France
Champs: {""Building_Number"": 128, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Dr. Roux"", ""Street_Name"": ""de la République"", ""Zip_Code"": 6000, ""repetition"": null, ""type_voie"": ""avenue""}"
France de Verdun 34 rue 75001 SCI Horizon Nantes,34,,rue,de Verdun,75001,Nantes,France,SCI Horizon,"Parsing: France de Verdun 34 rue 75001 SCI Horizon Nantes
Champs: {""Building_Number"": 34, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""SCI Horizon"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""rue""}"
